DNS,ORIGINPOOL
school31.example.com,school31-originpool
school32.example.com,school32-originpool
school33.example.com,school33-originpool
school34.example.com,school34-originpool
school35.example.com,school35-originpool
school36.example.com,school36-originpool
school37.example.com,school37-originpool
school38.example.com,school38-originpool
school39.example.com,school39-originpool
school40.example.com,school40-originpool
school41.example.com,school41-originpool
school42.example.com,school42-originpool
school43.example.com,school43-originpool
school44.example.com,school44-originpool
school45.example.com,school45-originpool
