DNS,ORIGINPOOL
school61.example.com,school61-originpool
school62.example.com,school62-originpool
school63.example.com,school63-originpool
school64.example.com,school64-originpool
school65.example.com,school65-originpool
school66.example.com,school66-originpool
school67.example.com,school67-originpool
school68.example.com,school68-originpool
school69.example.com,school69-originpool
school70.example.com,school70-originpool
school71.example.com,school71-originpool
school72.example.com,school72-originpool
school73.example.com,school73-originpool
school74.example.com,school74-originpool
school75.example.com,school75-originpool
