DNS,ORIGINPOOL
school46.example.com,school46-originpool
school47.example.com,school47-originpool
school48.example.com,school48-originpool
school49.example.com,school49-originpool
school50.example.com,school50-originpool
school51.example.com,school51-originpool
school52.example.com,school52-originpool
school53.example.com,school53-originpool
school54.example.com,school54-originpool
school55.example.com,school55-originpool
school56.example.com,school56-originpool
school57.example.com,school57-originpool
school58.example.com,school58-originpool
school59.example.com,school59-originpool
school60.example.com,school60-originpool
